epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5833,1.87656,3.96994,2.07335,0.00438,0.95,0.15982,0.09188,1.68888,4.36134,2.24349,4.444e-05,4.444e-05,4.444e-05
2,41.8874,1.48794,3.73354,1.85285,0.00425,0.9,0.47778,0.2975,1.27499,4.08859,1.71876,9.80102e-05,9.80102e-05,9.80102e-05
3,62.8453,1.48546,3.63261,1.70986,0.00718,0.95,0.4766,0.36102,1.07378,3.98807,1.41695,0.000149381,0.000149381,0.000149381
4,83.8867,1.2892,3.28135,1.5567,0.00777,1,0.49444,0.36936,0.97053,3.87459,1.32492,0.000198551,0.000198551,0.000198551
5,105.145,1.3315,3.06699,1.57628,0.00559,1,0.55533,0.36789,1.0143,3.74347,1.43887,0.000245522,0.000245522,0.000245522
6,126.46,1.20538,2.9116,1.46738,0.00515,1,0.55673,0.36557,1.03889,3.70056,1.4711,0.000290293,0.000290293,0.000290293
7,147.58,1.14949,2.48679,1.36903,0.00478,1,0.70367,0.52546,1.00132,3.49714,1.35588,0.000332864,0.000332864,0.000332864
8,169.063,1.09129,2.25258,1.33966,0.87031,0.41901,0.72609,0.55024,0.96182,3.28763,1.32996,0.000373236,0.000373236,0.000373236
9,191.166,1.16772,2.30777,1.44361,0.90155,0.2,0.78118,0.57631,0.94608,3.3713,1.27229,0.000411408,0.000411408,0.000411408
10,213.14,1.14972,2.13548,1.33026,0.88681,0.2,0.79743,0.47947,1.0713,3.46813,1.37388,0.00044738,0.00044738,0.00044738
11,234.888,1.06668,1.98848,1.34969,0.83868,0.44295,0.85213,0.47879,1.04794,3.29429,1.37716,0.000481152,0.000481152,0.000481152
12,256.621,1.04628,2.08119,1.3176,0.93539,0.27746,0.89813,0.55534,1.02658,3.23277,1.36487,0.000512724,0.000512724,0.000512724
13,288.839,1.11001,2.119,1.36211,0.98935,0.39647,0.94112,0.58641,1.02273,3.26726,1.32688,0.000542097,0.000542097,0.000542097
